Turn 00001 | 1#1 Archer [10/1/0/16/3] attacks 2#1 Healer [0/0/2/5/7] dealing 1 damage
Turn 00003 | 1#3 Heavy Infantry [11/12/1] attacks 2#5 Light Infantry [0/0/3/1/11] dealing 10 damage
Turn 00004 | 1#1 Knight [14/15/6] attacks 2#4 Gulyay Gorod [0/0/4] dealing 12 damage
Turn 00004 | 2#6 Heavy Infantry (Sh) [6/4/4] attacks 1#2 Heavy Infantry [32/2/4] dealing 3 damage
Turn 00005 | 1#1 Knight [14/15/6] attacks 2#6 Heavy Infantry [0/0/3] dealing 13 damage
Turn 00001 | 1#1 Heavy Infantry [15/6/17] attacks 2#1 Archer [0/0/0/3/1] dealing 6 damage
Turn 00001 | 1#2 Archer [1/1/0/5/1] attacks 2#2 Heavy Infantry [10/2/0] dealing 1 damage
Turn 00001 | 2#2 Heavy Infantry [10/2/0] attacks 1#2 Archer [0/0/0/5/1] dealing 2 damage
Turn 00001 | 2#3 Archer [4/2/1/4/2] attacks 1#3 Gulyay Gorod [32/0/40] dealing 1 damage
Turn 00002 | 1#1 Heavy Infantry (He) [14/6/20] attacks 2#2 Heavy Infantry [4/2/0] dealing 6 damage
Turn 00002 | 2#3 Archer [4/2/1/4/2] attacks 1#3 Gulyay Gorod [31/0/40] dealing 1 damage
Turn 00002 | 2#4 Warlock [3/10/0/6/12] attacks 1#4 Light Infantry [1/1/3/1/8] dealing 9 damage
Turn 00002 | 1#4 Light Infantry [1/1/3/1/8] attacks 2#4 Warlock [2/10/0/6/12] dealing 1 damage
Turn 00003 | 1#1 Heavy Infantry (He) [14/6/20] attacks 2#2 Heavy Infantry [0/0/0] dealing 6 damage
Turn 00003 | 2#3 Archer [4/2/1/4/2] attacks 1#3 Gulyay Gorod [30/0/40] dealing 1 damage
Turn 00003 | 1#4 Light Infantry [1/1/3/1/8] attacks 2#4 Warlock [1/10/0/6/12] dealing 1 damage
Turn 00003 | 2#4 Warlock [1/10/0/6/12] attacks 1#4 Light Infantry [0/0/3/1/8] dealing 9 damage
Turn 00004 | 2#3 Archer [4/2/1/4/2] attacks 1#1 Heavy Infantry [13/6/17] dealing 1 damage
Turn 00004 | 1#1 Heavy Infantry [13/6/17] attacks 2#3 Archer [0/0/1/4/2] dealing 6 damage
Turn 00004 | 2#4 Warlock [1/10/0/6/12] attacks 1#3 Gulyay Gorod [27/0/40] dealing 3 damage
Turn 00004 | 2#5 Warlock [5/1/0/5/11] attacks 1#5 Knight [2/23/4] dealing 1 damage
Turn 00004 | 1#5 Knight [2/23/4] attacks 2#5 Warlock [0/0/0/5/11] dealing 23 damage
Turn 00005 | 1#1 Heavy Infantry [13/6/17] attacks 2#4 Warlock [0/0/0/6/12] dealing 6 damage
Turn 00005 | 2#6 Heavy Infantry [34/3/1] attacks 1#3 Gulyay Gorod [26/0/40] dealing 1 damage
Turn 00005 | 1#5 Knight [2/23/4] attacks 2#7 Healer [0/0/2/3/1] dealing 21 damage
Turn 00006 | 2#6 Heavy Infantry [34/3/1] attacks 1#1 Heavy Infantry [11/6/17] dealing 2 damage
Turn 00006 | 1#1 Heavy Infantry [11/6/17] attacks 2#6 Heavy Infantry [28/3/1] dealing 6 damage
Turn 00006 | 2#8 Warlock [1/1/0/4/5] attacks 1#3 Gulyay Gorod [26/0/40] dealing 0 damage
Turn 00007 | 1#1 Heavy Infantry [11/6/17] attacks 2#6 Heavy Infantry [22/3/1] dealing 6 damage
Turn 00007 | 2#6 Heavy Infantry [22/3/1] attacks 1#1 Heavy Infantry [9/6/17] dealing 2 damage
Turn 00007 | 2#8 Warlock [1/1/0/4/5] attacks 1#3 Gulyay Gorod [26/0/40] dealing 0 damage
Turn 00008 | 2#6 Heavy Infantry [22/3/1] attacks 1#1 Heavy Infantry [7/6/17] dealing 2 damage
Turn 00008 | 1#1 Heavy Infantry [7/6/17] attacks 2#6 Heavy Infantry [16/3/1] dealing 6 damage
Turn 00008 | 2#8 Warlock [1/1/0/4/5] attacks 1#3 Gulyay Gorod [26/0/40] dealing 0 damage
Turn 00009 | 1#1 Heavy Infantry [7/6/17] attacks 2#6 Heavy Infantry [10/3/1] dealing 6 damage
Turn 00009 | 2#6 Heavy Infantry [10/3/1] attacks 1#1 Heavy Infantry [5/6/17] dealing 2 damage
Turn 00009 | 2#8 Warlock [1/1/0/4/5] attacks 1#3 Gulyay Gorod [26/0/40] dealing 0 damage
Turn 00010 | 2#6 Heavy Infantry [10/3/1] attacks 1#1 Heavy Infantry [3/6/17] dealing 2 damage
Turn 00010 | 1#1 Heavy Infantry [3/6/17] attacks 2#6 Heavy Infantry [4/3/1] dealing 6 damage
Turn 00010 | 2#8 Warlock [1/1/0/4/5] attacks 1#3 Gulyay Gorod [26/0/40] dealing 0 damage
Turn 00011 | 1#1 Heavy Infantry [3/6/17] attacks 2#6 Heavy Infantry [0/0/1] dealing 6 damage
Turn 00011 | 2#8 Warlock [1/1/0/4/5] attacks 1#3 Gulyay Gorod [26/0/40] dealing 0 damage
Turn 00012 | 2#8 Warlock [1/1/0/4/5] attacks 1#1 Heavy Infantry [2/6/17] dealing 1 damage
Turn 00012 | 1#1 Heavy Infantry [2/6/17] attacks 2#8 Warlock [0/0/0/4/5] dealing 6 damage
